Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       PID/Program name    
udp        0      0 0.0.0.0:1031            0.0.0.0:*                           2689/dnsproxy
udp        0      0 0.0.0.0:1053            0.0.0.0:*                           2689/dnsproxy
udp        0      0 0.0.0.0:53              0.0.0.0:*                           2683/dnsproxy
udp        0      0 0.0.0.0:123             0.0.0.0:*                           2671/ntpd
udp        0      0 0.0.0.0:5246            0.0.0.0:*                           2694/cw_acd
udp        0      0 0.0.0.0:5247            0.0.0.0:*                           2694/cw_acd
udp        0      0 0.0.0.0:5248            0.0.0.0:*                           2694/cw_acd
udp        0      0 0.0.0.0:5249            0.0.0.0:*                           2694/cw_acd
udp        0      0 0.0.0.0:3210            0.0.0.0:*                           2689/dnsproxy
udp        0      0 0.0.0.0:161             0.0.0.0:*                           2662/snmpd
udp        0      0 0.0.0.0:10914           0.0.0.0:*                           2694/cw_acd
udp        0      0 0.0.0.0:3249            0.0.0.0:*                           2689/dnsproxy
udp        0      0 0.0.0.0:8900            0.0.0.0:*                           2648/sslvpnd
udp        0      0 0.0.0.0:1733            0.0.0.0:*                           2689/dnsproxy
udp        0      0 0.0.0.0:710             0.0.0.0:*                           2664/dhcpcd
udp        0      0 0.0.0.0:715             0.0.0.0:*                           2689/dnsproxy
udp        0      0 0.0.0.0:7900            0.0.0.0:*                           2689/dnsproxy
udp        0      0 0.0.0.0:2285            0.0.0.0:*                           2665/dhcpd
udp        0      0 127.0.0.1:1812          0.0.0.0:*                           2690/eap_proxy
udp        0      0 0.0.0.0:9500            0.0.0.0:*                           2694/cw_acd
udp        0      0 0.0.0.0:9502            0.0.0.0:*                           2694/cw_acd
udp        0      0 127.0.0.1:6010          0.0.0.0:*                           2691/fgfmd
udp        0      0 0.0.0.0:5060            0.0.0.0:*                           2650/voipd
udp        0      0 0.0.0.0:5060            0.0.0.0:*                           2650/voipd
udp        0      0 0.0.0.0:65523           0.0.0.0:*                           2638/clearpass
udp        0      0 0.0.0.0:65524           0.0.0.0:*                           2634/forticron
udp        0      0 :::1046                 :::*                                2689/dnsproxy
udp        0      0 :::53                   :::*                                2683/dnsproxy
udp        0      0 :::123                  :::*                                2671/ntpd
udp        0      0 :::5246                 :::*                                2694/cw_acd
udp        0      0 :::161                  :::*                                2662/snmpd
udp        0      0 :::8900                 :::*                                2648/sslvpnd
udp        0      0 :::7900                 :::*                                2689/dnsproxy
udp        0      0 :::9500                 :::*                                2694/cw_acd
udp        0      0 :::3424                 :::*                                2689/dnsproxy
udp        0      0 :::5060                 :::*                                2650/voipd
udp        0      0 :::5060                 :::*                                2650/voipd
udp        0      0 :::1998                 :::*                                2689/dnsproxy
